maker,name,used_count,used_price_min,used_price_max,new_price_min,new_price_max,new_count,displacement_cc,class_label,category,category_rank,review_score,review_count,owner_count,source_url,fetched_at
ホンダ,GORILLA ゴリラ,49,150000,1250000,,,,49,50cc以下,ネイキッド＆ストリート,198,4.4,26,620,https://www.bikebros.co.jp/catalog/1/100_1/,2026-09-05
ホンダ,JADE/S ジェイド/S,28,420000,920000,,,,249,126～250cc,ネイキッド＆ストリート,285,4.5,25,418,https://www.bikebros.co.jp/catalog/1/101_1/,2026-09-05
ホンダ,GYRO UP ジャイロアップ,23,149900,429800,,,,49,50cc以下,原付・スクーター,904,5,1,101,https://www.bikebros.co.jp/catalog/1/102_1/,2026-09-05
ホンダ,GYRO X ジャイロX,158,118000,788000,,,,49,50cc以下,原付・スクーター,367,3.5,8,307,https://www.bikebros.co.jp/catalog/1/102_2/,2026-09-05
ホンダ,GYRO CANOPY ジャイロキャノピー,245,106000,759000,519000,1200000,3,49,50cc以下,原付・スクーター,181,4.3,12,617,https://www.bikebros.co.jp/catalog/1/102_3/,2026-09-05
ホンダ,JAZZ ジャズ,48,148000,490000,,,,49,50cc以下,ビジネスバイク＆ミニバイク,226,4.5,76,534,https://www.bikebros.co.jp/catalog/1/103_1/,2026-09-05
ホンダ,Shadow 50 シャドウ50,2,182000,250000,,,,,50cc以下,原付・スクーター,3971,0,0,6,https://www.bikebros.co.jp/catalog/1/105_1/,2026-09-05
ホンダ,Shadow Phantom 750 シャドウ ファントム 750,9,650000,1098000,,,,745,401～750cc,アメリカン＆クルーザー,641,4.4,11,111,https://www.bikebros.co.jp/catalog/1/105_10/,2026-09-05
ホンダ,Shadow Classic 400 シャドウクラシック400,7,499000,792200,,,,398,251～400cc,アメリカン＆クルーザー,829,0,0,172,https://www.bikebros.co.jp/catalog/1/105_11/,2026-09-05
ホンダ,Shadow 400 シャドウ400,56,248000,1097800,,,,398,251～400cc,アメリカン＆クルーザー,146,4.6,52,581,https://www.bikebros.co.jp/catalog/1/105_3/,2026-09-05
ホンダ,Shadow Slasher シャドウスラッシャー,34,328000,800000,,,,398,251～400cc,アメリカン＆クルーザー,253,4.4,9,282,https://www.bikebros.co.jp/catalog/1/105_4/,2026-09-05
ホンダ,Shadow 750 シャドウ750,14,238000,772000,,,,745,401～750cc,アメリカン＆クルーザー,319,4.5,16,194,https://www.bikebros.co.jp/catalog/1/105_6/,2026-09-05
ホンダ,Shadow Custom 400 シャドウカスタム400,4,598000,798000,,,,398,251～400cc,アメリカン＆クルーザー,1288,4,1,51,https://www.bikebros.co.jp/catalog/1/105_9/,2026-09-05
ホンダ,CHALY 50 シャリィ50,30,110000,909000,,,,49,50cc以下,原付・スクーター,202,4.7,10,347,https://www.bikebros.co.jp/catalog/1/106_1/,2026-09-05
ホンダ,CHALY 70 シャリィ70,4,219000,410000,,,,72,51～125cc,ビジネスバイク＆ミニバイク,1289,0,0,75,https://www.bikebros.co.jp/catalog/1/106_3/,2026-09-05
ホンダ,Julio ジュリオ,17,75000,318000,550000,670000,3,49,50cc以下,原付・スクーター,856,4.4,9,53,https://www.bikebros.co.jp/catalog/1/108_1/,2026-09-05
ホンダ,JOKER 50 ジョーカー50,30,99900,909000,,,,49,50cc以下,原付・スクーター,905,3.8,9,85,https://www.bikebros.co.jp/catalog/1/110_1/,2026-09-05
ホンダ,JOKER 90 ジョーカー90,18,140000,299000,,,,89,51～125cc,原付・スクーター,670,4.4,8,155,https://www.bikebros.co.jp/catalog/1/110_2/,2026-09-05
ホンダ,Giorno ジョルノ,419,49700,308000,209000,340000,105,49,50cc以下,原付・スクーター,82,4,7,384,https://www.bikebros.co.jp/catalog/1/111_2/,2026-09-05
ホンダ,Giorno Crea ジョルノクレア,3,64800,140000,,,,49,50cc以下,原付・スクーター,1248,4.3,3,43,https://www.bikebros.co.jp/catalog/1/111_3/,2026-09-05
ホンダ,SilverWing GT400 シルバーウイングGT400,5,448000,598000,,,,398,251～400cc,ビッグスクーター,685,0,0,76,https://www.bikebros.co.jp/catalog/1/113_3/,2026-09-05
ホンダ,ZOOK ズーク,7,49800,228000,,,,49,50cc以下,原付・スクーター,719,4.6,5,40,https://www.bikebros.co.jp/catalog/1/114_1/,2026-09-05
ホンダ,Super Cub C100 スーパーカブC100,5,385000,589000,,,,49,50cc以下,ビジネスバイク＆ミニバイク,1571,5,2,33,https://www.bikebros.co.jp/catalog/1/115_1/,2026-09-05
ホンダ,Press Cub 50 プレスカブ50,8,94800,188000,,,,49,50cc以下,ビジネスバイク＆ミニバイク,618,4.5,2,104,https://www.bikebros.co.jp/catalog/1/115_13/,2026-09-05
ホンダ,Little Cub リトルカブ,236,80000,480000,286000,800000,2,49,50cc以下,ビジネスバイク＆ミニバイク,237,4.5,55,1168,https://www.bikebros.co.jp/catalog/1/115_15/,2026-09-05
ホンダ,CT110 HUNTER Cub CT110 ハンターカブ,30,304100,599000,,,,105,51～125cc,ネイキッド＆ストリート,686,4.2,8,280,https://www.bikebros.co.jp/catalog/1/115_20/,2026-09-05
ホンダ,MD90,5,219000,451000,,,,,51～125cc,ネイキッド＆ストリート,2971,5,3,45,https://www.bikebros.co.jp/catalog/1/115_22/,2026-09-05
ホンダ,Super Cub 100 / Cub 100 EX スーパーカブ100 / カブ100EX,2,162000,217800,,,,97,51～125cc,ビジネスバイク＆ミニバイク,969,4,1,66,https://www.bikebros.co.jp/catalog/1/115_24/,2026-09-05
ホンダ,Super Cub 70 スーパーカブ70,9,170000,378000,,,,72,51～125cc,ビジネスバイク＆ミニバイク,320,4.2,4,271,https://www.bikebros.co.jp/catalog/1/115_26/,2026-09-05
ホンダ,Super Cub 90 スーパーカブ90,58,149600,468000,,,,85,51～125cc,ビジネスバイク＆ミニバイク,63,4,26,1020,https://www.bikebros.co.jp/catalog/1/115_27/,2026-09-05
ホンダ,Super Cub C105 スーパーカブC105,2,420000,550000,,,,54,51～125cc,ビジネスバイク＆ミニバイク,2169,0,0,16,https://www.bikebros.co.jp/catalog/1/115_28/,2026-09-05
ホンダ,Super Cub 110 スーパーカブ110,252,110000,428000,281000,445000,704,109,51～125cc,ビジネスバイク＆ミニバイク,72,4.5,22,1540,https://www.bikebros.co.jp/catalog/1/115_29/,2026-09-05
